time,triggeredvoltage_ch1,voltage_ch2,voltage_ch3,voltage_ch4
0.0004956,-1.48,1.0,0.0,0.0
0.00049568,-1.48,1.04,0.0,0.0
0.00049576,-1.48,1.0,0.0,0.0
0.00049584,-1.48,1.0,0.0,0.0
0.00049592,-1.48,1.0,0.0,0.0
0.000496,-1.48,1.0,0.0,-0.04
0.00049608,-1.48,1.0,-0.04,0.0
0.00049616,-1.44,1.0,-0.04,0.0
0.00049624,-1.48,1.0,0.0,0.0
0.00049632,-1.48,1.0,0.0,-0.04
0.0004964,-1.44,1.04,0.0,0.0
0.00049648,-1.44,1.0,0.0,0.0
0.00049656,-1.48,1.0,-0.04,0.0
0.00049664,-1.48,1.04,0.0,-0.04
0.00049672,-1.48,1.0,0.0,-0.04
0.0004968,-1.48,1.0,0.0,-0.04
0.00049688,-1.48,1.0,-0.04,0.0
0.00049696,-1.48,1.0,0.0,0.0
0.00049704,-1.44,1.0,-0.04,0.0
0.00049712,-1.48,1.0,0.0,0.0
0.0004972,-1.48,1.0,-0.04,0.0
0.00049728,-1.48,1.04,0.0,0.0
0.00049736,-1.48,1.0,0.0,0.0
0.00049744,-1.48,1.04,0.0,0.0
0.00049752,-1.48,1.0,0.0,0.0
0.0004976,-1.48,1.0,0.0,0.0
0.00049768,-1.48,1.04,0.0,-0.04
0.00049776,-1.48,1.0,-0.04,-0.04
0.00049784,-1.48,1.0,0.0,0.0
0.00049792,-1.48,1.0,0.0,0.0
0.000498,-1.48,1.0,0.0,0.0
0.00049808,-1.52,1.0,0.0,0.0
0.00049816,-1.48,1.0,0.0,0.0
0.00049824,-1.48,1.0,-0.04,0.0
0.00049832,-1.48,1.04,0.0,-0.04
0.0004984,-1.48,1.0,0.0,0.0
0.00049848,-1.48,1.04,0.0,0.0
0.00049856,-1.48,1.0,-0.04,0.0
0.00049864,-1.44,1.0,0.0,-0.04
0.00049872,-1.48,1.0,-0.04,0.0
0.0004988,-1.48,1.0,0.0,0.0
0.00049888,-1.48,1.0,-0.04,0.0
0.00049896,-1.48,1.0,-0.04,0.0
0.00049904,-1.44,1.0,0.0,0.0
0.00049912,-1.48,1.0,0.0,-0.04
0.0004992,-1.44,1.0,-0.04,0.0
0.00049928,-1.48,1.0,-0.04,0.0
0.00049936,-1.48,1.0,-0.04,0.0
0.00049944,-1.48,1.0,0.0,0.0
0.00049952,-1.48,1.0,0.0,0.0
